"Genus","Display_genus","Sample_ID","Site","Relative_abundance_percent","Detected"
"Staphylococcus","Staphylococcus","220604_01","Veragua",3.81263616557734,TRUE
"Staphylococcus","Staphylococcus","220604_02","Veragua",0,FALSE
"Staphylococcus","Staphylococcus","220604_03","Veragua",0.10674513876868,TRUE
"Staphylococcus","Staphylococcus","220604_04","Veragua",0,FALSE
"Staphylococcus","Staphylococcus","220604_05","Veragua",0.532855652804861,TRUE
"Staphylococcus","Staphylococcus","220604_06","Veragua",1.07690966166725,TRUE
"Staphylococcus","Staphylococcus","220604_07","Veragua",2.71119512707414,TRUE
"Staphylococcus","Staphylococcus","220606_02","Veragua",1.00590915242005,TRUE
"Staphylococcus","Staphylococcus","220606_04","Veragua",0,FALSE
"Staphylococcus","Staphylococcus","220607_01","Veragua",0,FALSE
"Staphylococcus","Staphylococcus","220607_02","Veragua",0,FALSE
"Staphylococcus","Staphylococcus","220607_03","Veragua",0.283779948919609,TRUE
"Staphylococcus","Staphylococcus","220607_04","Veragua",0.775154135434521,TRUE
"Staphylococcus","Staphylococcus","220609_01","Veragua",0.15341043190937,TRUE
"Staphylococcus","Staphylococcus","220609_02","Veragua",0.0624693491511174,TRUE
"Staphylococcus","Staphylococcus","220609_03","Veragua",0.573868286381968,TRUE
"Staphylococcus","Staphylococcus","220609_04","Veragua",0.249241764511576,TRUE
"Staphylococcus","Staphylococcus","220609_07","Veragua",1.63262537014423,TRUE
"Staphylococcus","Staphylococcus","220707_11","Altos de Campana",0,FALSE
"Staphylococcus","Staphylococcus","220707_12","Altos de Campana",0,FALSE
"Staphylococcus","Staphylococcus","220707_13","Altos de Campana",0,FALSE
"Staphylococcus","Staphylococcus","220707_14","Altos de Campana",0,FALSE
"Staphylococcus","Staphylococcus","220707_15","Altos de Campana",0,FALSE
"Staphylococcus","Staphylococcus","220707_16","Altos de Campana",0.141732283464567,TRUE
"Staphylococcus","Staphylococcus","220707_17","Altos de Campana",0,FALSE
"Staphylococcus","Staphylococcus","220707_18","Altos de Campana",0.105621926756963,TRUE
"Staphylococcus","Staphylococcus","220707_19","Altos de Campana",0.197024923652842,TRUE
"Staphylococcus","Staphylococcus","220707_20","Altos de Campana",0.239397154438369,TRUE
"Staphylococcus","Staphylococcus","220708_01","Soberanía",0,FALSE
"Staphylococcus","Staphylococcus","220708_02","Soberanía",0.963371389919446,TRUE
"Staphylococcus","Staphylococcus","220708_03","Soberanía",0.637736184854507,TRUE
"Staphylococcus","Staphylococcus","220708_04","Soberanía",0.639397890787638,TRUE
"Staphylococcus","Staphylococcus","220708_05","Soberanía",0.30147935216995,TRUE
"Staphylococcus","Staphylococcus","220708_06","Soberanía",0.941035491488387,TRUE
"Staphylococcus","Staphylococcus","220708_07","Soberanía",0.780683655830034,TRUE
"Staphylococcus","Staphylococcus","220708_08","Soberanía",0.599861226134253,TRUE
"Staphylococcus","Staphylococcus","220708_09","Soberanía",0,FALSE
"Staphylococcus","Staphylococcus","220708_10","Soberanía",0,FALSE
"Staphylococcus","Staphylococcus","250607_01","Lost Iguana",3.06955343355079,TRUE
"Staphylococcus","Staphylococcus","250607_02","Lost Iguana",2.51866641708783,TRUE
"Staphylococcus","Staphylococcus","250607_03","Lost Iguana",3.81309987550701,TRUE
"Staphylococcus","Staphylococcus","250607_04","Lost Iguana",1.08048511576626,TRUE
"Staphylococcus","Staphylococcus","250607_05","Lost Iguana",2.65636390144336,TRUE
"Staphylococcus","Staphylococcus","250607_07","Lost Iguana",7.2772410492627,TRUE
"Staphylococcus","Staphylococcus","250607_08","Lost Iguana",9.45382208660049,TRUE
"Staphylococcus","Staphylococcus","250607_09","Lost Iguana",5.36535108575052,TRUE
"Staphylococcus","Staphylococcus","250607_10","Lost Iguana",0.997298981923956,TRUE
"Acinetobacter","Acinetobacter","220604_01","Veragua",3.74560080442433,TRUE
"Acinetobacter","Acinetobacter","220604_02","Veragua",4.8175456135966,TRUE
"Acinetobacter","Acinetobacter","220604_03","Veragua",0.910218683284288,TRUE
"Acinetobacter","Acinetobacter","220604_04","Veragua",3.6743923120407,TRUE
"Acinetobacter","Acinetobacter","220604_05","Veragua",2.34002993061539,TRUE
"Acinetobacter","Acinetobacter","220604_06","Veragua",2.66393442622951,TRUE
"Acinetobacter","Acinetobacter","220604_07","Veragua",0.705734089477,TRUE
"Acinetobacter","Acinetobacter","220606_02","Veragua",1.40285984933917,TRUE
"Acinetobacter","Acinetobacter","220606_04","Veragua",2.21760221760222,TRUE
"Acinetobacter","Acinetobacter","220607_01","Veragua",0.127632418634333,TRUE
"Acinetobacter","Acinetobacter","220607_02","Veragua",3.11216573879712,TRUE
"Acinetobacter","Acinetobacter","220607_03","Veragua",0.652693882515101,TRUE
"Acinetobacter","Acinetobacter","220607_04","Veragua",0.880042978843153,TRUE
"Acinetobacter","Acinetobacter","220609_01","Veragua",4.44496892455354,TRUE
"Acinetobacter","Acinetobacter","220609_02","Veragua",0.628196445669181,TRUE
"Acinetobacter","Acinetobacter","220609_03","Veragua",1.94839129534496,TRUE
"Acinetobacter","Acinetobacter","220609_04","Veragua",0.888862196330441,TRUE
"Acinetobacter","Acinetobacter","220609_07","Veragua",0.342408351890429,TRUE
